0.20,6000,-2.910722e-05, 3.690313e-07
0.20,7000,-2.542213e-05, 2.802162e-07
0.20,8000,-2.256289e-05, 2.199529e-07
0.20,9000,-2.028046e-05, 1.772091e-07
0.20,10000,-1.841661e-05, 1.458036e-07
0.20,11000,-1.686603e-05, 1.220570e-07
0.20,12000,-1.555596e-05, 1.036688e-07
0.20,13000,-1.443453e-05, 8.914110e-08
0.20,14000,-1.346378e-05, 7.746476e-08
0.20,15000,-1.261526e-05, 6.793997e-08
0.20,16000,-1.186728e-05, 6.006904e-08
0.20,17000,-1.120299e-05, 5.349023e-08
0.20,18000,-1.060907e-05, 4.793555e-08
0.20,19000,-1.007493e-05, 4.320299e-08
0.20,20000,-9.591973e-06, 3.913803e-08
0.30,5000,-5.088012e-05, 1.160050e-06
0.30,6000,-4.355730e-05, 8.418794e-07
0.30,7000,-3.806558e-05, 6.383782e-07
0.30,8000,-3.379777e-05, 5.005081e-07
0.30,9000,-3.038729e-05, 4.028503e-07
0.30,10000,-2.760015e-05, 3.311819e-07
0.30,11000,-2.528017e-05, 2.770467e-07
0.30,12000,-2.331924e-05, 2.351646e-07
0.30,13000,-2.164013e-05, 2.021015e-07
0.30,14000,-2.018624e-05, 1.755462e-07
0.30,15000,-1.891518e-05, 1.538975e-07
0.30,16000,-1.779453e-05, 1.360178e-07
0.30,17000,-1.679911e-05, 1.210807e-07
0.30,18000,-1.590907e-05, 1.084745e-07
0.30,19000,-1.510852e-05, 9.773852e-08
0.30,20000,-1.438462e-05, 8.852041e-08
0.40,5000,-6.759670e-05, 2.096054e-06
0.40,6000,-5.792957e-05, 1.518408e-06
0.40,7000,-5.065893e-05, 1.149641e-06
0.40,8000,-4.499857e-05, 9.002293e-07
0.40,9000,-4.046989e-05, 7.238245e-07
0.40,10000,-3.676586e-05, 5.945309e-07
0.40,11000,-3.368083e-05, 4.969763e-07
0.40,12000,-3.107206e-05, 4.215747e-07
0.40,13000,-2.883745e-05, 3.621001e-07
0.40,14000,-2.690206e-05, 3.143673e-07
0.40,15000,-2.520967e-05, 2.754794e-07
0.40,16000,-2.371729e-05, 2.433805e-07
0.40,17000,-2.239149e-05, 2.165784e-07
0.40,18000,-2.120590e-05, 1.939693e-07
0.40,19000,-2.013941e-05, 1.747226e-07
0.40,20000,-1.917495e-05, 1.582035e-07
0.50,5000,-8.416725e-05, 3.331496e-06
0.50,6000,-7.221606e-05, 2.408537e-06
0.50,7000,-6.319776e-05, 1.820590e-06
0.50,8000,-5.616262e-05, 1.423695e-06
0.50,9000,-5.052658e-05, 1.143437e-06
0.50,10000,-4.591262e-05, 9.383119e-07
0.50,11000,-4.206722e-05, 7.837259e-07
0.50,12000,-3.881388e-05, 6.643671e-07
0.50,13000,-3.602611e-05, 5.703046e-07
0.50,14000,-3.361093e-05, 4.948716e-07
0.50,15000,-3.149850e-05, 4.334590e-07
0.50,16000,-2.963539e-05, 3.827987e-07
0.50,17000,-2.797998e-05, 3.405214e-07
0.50,18000,-2.649945e-05, 3.048757e-07
0.50,19000,-2.516751e-05, 2.745446e-07
0.50,20000,-2.396289e-05, 2.485223e-07
0.60,5000,-1.005725e-04, 4.884675e-06
0.60,6000,-8.640734e-05, 3.523515e-06
0.60,7000,-7.567697e-05, 2.658578e-06
0.60,8000,-6.728693e-05, 2.075956e-06
0.60,9000,-6.055548e-05, 1.665297e-06
0.60,10000,-5.503921e-05, 1.365190e-06
0.60,11000,-5.043850e-05, 1.139318e-06
0.60,12000,-4.654410e-05, 9.651118e-07
0.60,13000,-4.320567e-05, 8.279576e-07
0.60,14000,-4.031253e-05, 7.180592e-07
0.60,15000,-3.778144e-05, 6.286529e-07
0.60,16000,-3.554864e-05, 5.549478e-07
0.60,17000,-3.356444e-05, 4.934744e-07
0.60,18000,-3.178961e-05, 4.416705e-07
0.60,19000,-3.019273e-05, 3.976109e-07
0.60,20000,-2.874836e-05, 3.598262e-07
0.70,5000,-1.167888e-04, 6.777025e-06
0.70,6000,-1.004922e-04, 4.876219e-06
0.70,7000,-8.809059e-05, 3.671873e-06
0.70,8000,-7.836806e-05, 2.862610e-06
0.70,9000,-7.055448e-05, 2.293363e-06
0.70,10000,-6.414425e-05, 1.878064e-06
0.70,11000,-5.879375e-05, 1.565935e-06
0.70,12000,-5.426207e-05, 1.325492e-06
0.70,13000,-5.037567e-05, 1.136385e-06
